Item,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
TOTAL,188578196,249295559,352220504,348019269,353721039,325447863,343540589,280609385,311136246,381554799,389495963,452257030,591328595,573095253,552438648
ZZZ--TRADED ITEMS; NESOI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
990--SPECIAL CLASSIFICATION PROVISIONS; NESOI,811903,833589,969742,1496822,1192462,941265,1171258,1139143,983084,1140843,1053385,1480299,1911019,2461458,2236250
980--GOODS RET TO CA (EXP); US GOODS RET & REIMPS (IMP),7114013,4511237,8828349,6413885,6237186,6158767,10135132,8842693,15236408,9441453,12812610,16381142,61942346,29316196,35982528
930--USED OR SECOND-HAND MERCHANDISE,0,0,0,0,0,0,0,0,0,1069561,621785,807922,201810,1968442,1054137
920--USED OR SECOND-HAND MERCHANDISE,327576,134474,313380,102596,219778,604569,595302,650965,910334,0,0,0,0,0,0
910--WASTE AND SCRAP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511--NEWSPAPERS; BOOKS & OTHER PUBLISHED MATTER; NESOI,0,0,19524,7600,0,0,0,0,0,0,0,0,0,0,0
33Z--MANUFACTURING PRODUCTS; PART 3; NESOI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
339--MISCELLANEOUS MANUFACTURED COMMODITIES,2858704,3430094,3677631,3806452,6677583,7226482,7457040,4612154,5140294,4453214,5236155,5762274,7034780,7289285,7783252
337--FURNITURE & FIXTURES,21515,70477,66908,70057,167574,54951,61306,77066,97926,127861,87691,55791,45178,204556,31709
336--TRANSPORTATION EQUIPMENT,97636,179693,146403,895378,3520664,1056007,156041,118668,620706,682630,55844,486896,416928,359557,398500
335--ELECTRICAL EQUIPMENT; APPLIANCES & COMPONENTS,202388,108898,241164,325990,128417,78176,271796,277323,83901,195137,94488,227328,547706,72794,119112
334--COMPUTER AND ELECTRONIC PRODUCTS,4097085,6286528,3220149,2495128,3917895,2349834,6412685,4057647,2570880,3764793,2070912,21989592,1961190,618756,2397711
333--MACHINERY; EXCEPT ELECTRICAL,432894,181723,308318,1296264,1000833,348914,621565,1473023,1092531,641630,1380386,1028785,290963,445042,551593
332--FABRICATED METAL PRODUCTS; NESOI,250841,150104,274696,204629,375987,361337,294759,141996,551889,380508,148788,872673,25995,290747,188680
331--PRIMARY METAL MFG,433918,0,163215,144074,139454,0,47133,0,0,26200,120414,49009,106009,12358,52755
327--NONMETALLIC MINERAL PRODUCTS,489361,471118,464588,340885,519342,444127,559701,149564,320436,250761,368636,313005,270081,265324,2511431
326--PLASTICS & RUBBER PRODUCTS,218205,473085,1623303,1832160,3913979,1351879,1016695,720919,542781,741410,974427,1036354,1043107,528552,470022
325--CHEMICALS,2355051,898638,1247163,1779778,1076585,1780683,752058,1233857,1636441,1160692,1899135,2278146,3366178,5366959,4486943
324--PETROLEUM & COAL PRODUCTS,0,75987,271308,0,0,0,0,0,0,0,0,0,0,0,0
323--PRINTED MATTER AND RELATED PRODUCTS; NESOI,193943,186000,163479,756880,113888,116152,79644,318964,174080,172261,132366,183216,189364,147902,146784
322--PAPER,105034,55394,146865,27765,181630,41161,0,763,19558,10010,6048,5139,4227,6809,7320
321--WOOD PRODUCTS,3040340,1601376,1624221,1311141,1934263,1223307,791214,627659,629805,570570,721658,693727,788442,573771,478864
316--LEATHER & ALLIED PRODUCTS,109662,94822,448819,289440,471518,208985,147225,194005,370792,572645,712053,792395,663275,872416,406351
315--APPAREL MANUFACTURING PRODUCTS,125560786,187763018,277313029,270774673,263297677,248465497,246782469,195286089,201855051,260969819,254486678,308781755,379192927,368570040,340699443
314--TEXTILE MILLS PRODUCTS,69970,54748,85059,241012,87618,177323,136787,64084,44499,151349,352597,97103,118508,368351,151586
313--TEXTILES & FABRICS,218017,264455,45574,84270,824242,793756,207179,169690,343204,227576,93106,41370,103598,33649,53541
312--BEVERAGES & TOBACCO PRODUCTS,157770,177675,147691,153435,37400,120564,112200,74195,84150,155009,215754,149164,258221,202560,182016
311--FOOD MANUFACTURES,14143938,11085473,10879814,11645560,13925019,12739165,19559288,18538192,22950542,20285091,20494858,21405335,24284682,40409859,38955000
212--MINERALS & ORES,0,202410,176826,7030,0,0,280620,356382,0,3500,0,19600,16047754,17359166,25207810
211--OIL & GAS,0,0,0,0,0,0,0,0,50416,0,29386,0,0,0,0
11Z--AGRICULTURE AND LIVESTOCK PRODUCTS; NESOI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114--FISH; FRESH/CHILLED/FROZEN & OTHER MARINE PRODUCTS,3075938,1261536,3043416,2459441,3113575,3503362,2295484,925442,936727,477143,303087,414441,447771,464668,41889
113--FORESTRY PRODUCTS; NESOI,6779956,6635302,8092173,7841278,8162113,4218322,871169,340594,401836,714766,405493,136656,58894,64293,8301
112--OTHER ANIMALS,75809,59373,104636,176878,493521,623558,470535,520384,546144,435869,663902,576454,537578,469230,458341
111--AGRICULTURAL PRODUCTS,15335943,22048332,28113061,31038768,31990836,30459720,42254304,39697924,52941831,72732498,83954321,66191459,89470064,94352513,87376779
